No,PO number,Po Date,PO Name,Supplier,Total,Cur.
185,RFPO-7139-M4016-1,06 Nov 2025,PO for Air Cooled Screw Chiller (AM-330DR1V) - AS PER ATTACHED SPECIFICATIONS - 3P-208V-60Hz - INVOICE NO.:AM25E11040056603,"AIMIX GROUP CO., LTD",52220,USD
186,RFPO-7616-M4001-1,06 Nov 2025,PO for MR-60 for Vehicle and Equipment Maintenance – Mechanic Workshop - Official Quotation for MVL Bromgrove JV LLC (Project X058)-2025.11.6,Evangel International Machinery Ltd.,122000,USD
187,RFPO-7139-M4017-1,06 Nov 2025,PO for Genie Boom Lift,Lamphere Construction Ltd dba Heavy Equipment Hunters,88028.37,USD
188,RFPO-7073-M4101-1,06 Nov 2025,PO for PVC pipes and fittings,Harrington Industrial Plastics LLC,2273.48,USD
189,RFPO-7208-V40025-1,05 Nov 2025,PO for Sika primer & remover,Petrocoat Construction Chemicals Trading LLC,3860,AED
190,RFPO-6705-E6838-1,05 Nov 2025,PO for Bare Copper Grounding Conductor Wire and Ground Clamp,EMSI Inc.,2943.7,USD
191,RFPO-7878-V40002-1,05 Nov 2025,PO for Duct Insulation,KEPCO Building Materials Trading LLC,1804.32,AED
192,RFPO-7139-V40046-1,05 Nov 2025,PO for JFVN39463 - Pre-Shipment Inspection - 3 axles 40Ton 40ft container flatbed semi-trailer,V-Trust Inspection Service Co. Ltd.,268,USD
193,RFPO-7039-V40028-2,04 Nov 2025,PO for Additional Wires & Tape,Kelly & Hayes Electrical Industrial & Plumbing Supplies,3932.98,USD
194,RFPO-6705-V40149-1,04 Nov 2025,"PO for 	SOG Rebars, CMU Rebars, Additional Rebars for Fabrication & Foundation Remaining rebars",Nucor Rebar Fabrication,232234,USD
195,RFPO-6705-V40150-1,04 Nov 2025,PO for Rubber Wall Base,Dateline Exports Inc.,589.97,USD
196,RFPO-6705-E6837-1,04 Nov 2025,PO for Cable Marker,ARABIAN FALCON ELECTRICAL EQUIPMENT LLC,150,AED
197,RFPO-7039-S9102-1,04 Nov 2025,PO for Third Party Inspection of MV cables -2nd batch ,TUV SUD MIDDLE EAST LLC,1131,USD
198,RFPO-7878-V40001-1,04 Nov 2025,PO for Duct Insulation accessories,"Scott & From Co., Inc.",2351.818,USD
199,RFPO-6705-E6836A-1,03 Nov 2025,PO for EMT Conduits and Accessories,WESCO Distribution Inc,2519.88,USD
200,RFPO-6718-V40037-1,31 Oct 2025,PO for Hardware,Fastener Point LLC,858.72,AED
201,RFPO-1569-14853-1,30 Oct 2025,PO for MVL Internal PO Reimbursement - 1801 - 1807 Fees vs Concordia Invoices vs Payment Receipts,Keen Eye Technical Services LLC,25646.35,AED
202,RFPO-6718-V40036-1,30 Oct 2025,PO for Gaskets,"Smith International Gulf Services, LLC",4516.2,AED
203,RFPO-6542-V40044-1,29 Oct 2025,PO for Explosion-proof Switch. ,Larson Electronics LLC,4290.68,USD
204,RFPO-6705-V40147-1,29 Oct 2025,PO for wire connectors and cable ties,Kelly & Hayes Electrical Industrial & Plumbing Supplies,3239.06,USD
205,RFPO-6705-M4109-1,29 Oct 2025,PO for LSA-plumbing items,"FERGUSON ENTERPRISES, LLC",3027.504,USD
206,RFPO-6705-V40148-1,29 Oct 2025,PO for Hilti Items,TOOLS PLUS,1296.5,USD
207,RFPO-7139-S9138-1,28 Oct 2025,PO for 37.5KVA GENERATOR SET,MORRICO EQUIPMENT LLC,25179,USD
208,RFPO-7616-M4000-1,28 Oct 2025,PO for Welding Generator and  Plasma Cutter Quotation Ref: AHG_ITW_1_738_271025R01,Abdullah Hashim Industrial Gases & Equipment Co. Ltd.,97000,AED
209,RFPO-6705-E6804-2,27 Oct 2025,PO for Dry Type transformer,EMSI Inc.,122856.16,USD
210,RFPO-6705-M4108-1,27 Oct 2025,PO for LSA-plumbing items,"FERGUSON ENTERPRISES, LLC",11452.12,USD
211,RFPO-6705-M4107-1,27 Oct 2025,PO for Plumbing-Cut & cap,"FERGUSON ENTERPRISES, LLC",105.142,USD
212,RFPO-7878-V40000-1,24 Oct 2025,PO for Outdoor Condenser Unit,Trane Technologies,135030,USD
213,RFPO-5532-M4046-1,23 Oct 2025,PO for UTV LH800U-A and LH1100U-2D Spare Parts - MR-79 / AMR380 and MR-95 / AMR400,Evangel International Machinery Ltd.,2830,USD
214,RFPO-7208-V40022A-1,23 Oct 2025,"PO for Metal Wall, Roof Panel, Insulation",Dateline Exports Inc.,322338.71,USD
215,RFPO-6705-V40145-1,22 Oct 2025,PO for 343 JUMBO LOUVERED WEEP VENT,"White Cap Supply Holdings, LLC",2377,USD
216,RFPO-6705-V40146-1,22 Oct 2025,PO for EZ weld Enviro 205 solvent cement,Tsang Brothers Corporation,16,USD
217,RFPO-6705-V40136-2,22 Oct 2025,PO for 12000 BTU Mini Split AC Unit,LOWES,2581.19,USD
218,RFPO-5829-S9105-1,22 Oct 2025,PO for (CANDOR)  - 50T Crane with Badged Operator,OHIO GENERAL CONTRACTING LLC,55000,AED
219,RFPO-7139-M4015-1,21 Oct 2025,PO for Solid tires 10-16.5 RG400 NHS with rim,Evangel International Machinery Ltd.,1632,USD
220,RFPO-5532-V40089-1,21 Oct 2025,PO for Pre-Shipment Inspection of the DONGFENG 190HP truck mounted XCMG 6.3Ton Crane (PO# RFPO-5532-M4037-1 / EV2025G0012A).,V-Trust Inspection Service Co. Ltd.,268,USD
221,RFPO-7139-V40045-1,21 Oct 2025,PO for Pre-shipment inspection of the CPCD50 unit (PO# RFPO-7139-M4010-1) - INV-JFV056830,V-Trust Inspection Service Co. Ltd.,268,USD
222,RFPO-1569-O102-1,20 Oct 2025,PO for PDF-XChange PRO 5 User Pack (3-year license),RivYv Technologies,740,USD
223,RFPO-6718-V40034-1,20 Oct 2025,PO for Additional Pipe fittings,CRA Trading LLC,1170,USD
224,RFPO-6718-V40035-1,20 Oct 2025,PO for Internal coating for Additional Pipe fittings,Hilong Petroleum Pipe Co. LLC,9136,USD
225,RFPO-7864-V40002-1,20 Oct 2025,PO for Resilient Flooring / VCT,ODORES METAL LLC,2001.43,USD
226,RFPO-7139-V40043-1,20 Oct 2025,PO for Custom Tools,Uline,1693.72,USD
227,RFPO-7139-V40044-1,20 Oct 2025,PO for Lumber & osb board,LOWES,9437.25,USD
228,RFPO-6705-V40144-1,20 Oct 2025,PO for LSA-Architectural Items,Tsang Brothers Corporation,1860,USD
229,RFPO-7039-S9101-1,20 Oct 2025,PO for Third Party Inspection of MV cables,TUV SUD MIDDLE EAST LLC,1131,USD
230,RFPO-7208-V40024-1,16 Oct 2025,PO for Misc Metal Fabrication,"Scott & From Co., Inc.",31106.564,USD
231,RFPO-6841-M4105-1,16 Oct 2025,PO for Controllers & Auto Restart,S.K.M. Air Conditioning L.L.C.,3980,USD
232,RFPO-5532-M4045-1,15 Oct 2025,PO for Extension - MEKA’s Installation Service for Concrete Batching Plant and Crushing and Screening Systems,MEKA,6300,EURO
233,RFPO-6705-M4026-2,15 Oct 2025,"PO for ChemGrout CG555/030/DHES/HP Trailer Mounted, Diesel/Hydraulic powered, High Pressure Grout Pump with Accessories and Spares",ACE CENTRO ENTERPRISES,193340,AED
234,RFPO-6705-V40143-1,15 Oct 2025,PO for LSA-Architectural Items,HOME DEPOT USA,1446.28,USD
235,RFPO-6705-E6835-1,15 Oct 2025,PO for Electrical Items,TIC LIGHT ELECTRICAL CORP,10174.3,USD
236,RFPO-5829-R1511-1,15 Oct 2025,"PO for (CANDOR)  - Mitsubishi Rosa Bus – 26-seater, Diesel",MENA ENGINEERING AND TECHNICAL CO. L.L.C,51900,AED
237,RFPO-6705-M4106-1,15 Oct 2025,PO for Grade Hardware Items,TURTLE,230,USD
238,RFPO-1569-O101-1,14 Oct 2025,PO for Internal PO - Microsoft 365 G5 GCC – Annual Subscription Licenses (Pro-Rated) - Inv - 114614,Managed Solution LLC,1187.35,USD
239,RFPO-6705-V40140-1,14 Oct 2025,PO for LSA-plumbing piping items,"FERGUSON ENTERPRISES, LLC",2897.5,USD
240,RFPO-5532-M4044-1,14 Oct 2025,Procore MR-60 - MVL - XCMG WZ30-25 Spare Parts,Evangel International Machinery Ltd.,140,USD
241,RFPO-7139-V40040-2,14 Oct 2025,PO for Tarps &  Nylon rope,LOWES,5164.88,USD
242,RFPO-6705-V40142-1,14 Oct 2025,PO for CMU Wall Accessories ,"White Cap Supply Holdings, LLC",60295.30319,USD
243,RFPO-7039-V40027-1,14 Oct 2025,PO for SikaTop 107,Petrocoat Construction Chemicals Trading LLC,10336,AED
244,RFPO-7208-V40023-1,14 Oct 2025,PO for SPECPOXY MORTAR ,Dateline Exports Inc.,12692.39,USD
245,RFPO-7212-V40004-2,13 Oct 2025,PO for Floor Drain,Cimmaron International Corporation,538.93,USD
246,RFPO-7208-A5201-1,13 Oct 2025,PO for Steel doors & hardware,Lakshmi Metal Tech LLC,60806.91,AED
247,RFPO-7208-V40022-1,10 Oct 2025,PO for Metal Wall & Roof Panel,Dateline Exports Inc.,344970,USD
248,RFPO-5532-V40088-1,10 Oct 2025,PO for Aviation Lights,MEKA İTHALAT İHRACAT PAZARLAMA VE TİC. A.Ş,3019.09,EURO
249,RFPO-6852-V40035-1,10 Oct 2025,PO for Ball Valves (for Fuel Piping),Jet Fuel Specialists LLC,7763.45,USD
250,RFPO-6705-M4026-1,09 Oct 2025,"PO for ChemGrout CG555/030/DHES/HP Trailer Mounted, Diesel/Hydraulic powered, High Pressure Grout Pump with Accessories and Spares",ACE CENTRO ENTERPRISES,181870,AED
251,RFPO-1569-V4427-1,08 Oct 2025,Plan Swift 11 Measurements & QTY Takeoff Software -  Perpetual License - Mardhini Siddaiah,Green Figure Technique,8200,AED
252,RFPO-7208-V40021-1,08 Oct 2025,PO for Panel Boards,Kelly & Hayes Electrical Industrial & Plumbing Supplies,2060.12,USD
253,RFPO-6705-V40141-1,08 Oct 2025,PO for Carrier DX Split AC Package,Dateline Exports Inc.,12463.17,USD
254,RFPO-7139-S9130-2,08 Oct 2025,PO for Canopy Storage Shelter,BIG TOP SHELTERS,111700,USD
255,RFPO-6705-V40061-2,07 Oct 2025,PO for Block Saw & Saw Blade,MONJE,8048.24,USD
256,RFPO-7039-V40026-1,07 Oct 2025,PO for Admixtures,SODAMCO EMIRATES FACTORY FOR BUILDING MATERIALS LLC,17000,AED
257,RFPO-7039-E6807-1,07 Oct 2025,PO for Conduit Plugs,EMSI Inc.,4808.806,USD
258,RFPO-7208-V40020-1,07 Oct 2025,PO for Duct Connector,Delta Duct Airconditioning LLC,375,AED
259,RFPO-1005-V7256-1,03 Oct 2025,PO for Sheet Piles,ArcelorMittal DSTC FZE,116775,AED
260,RFPO-7139-V4355-1,03 Oct 2025,PO for Crane Lifting Gear-Accessories,Jack Rubin & Sons Inc,3185.3,USD
261,RFPO-7208-V40019-1,02 Oct 2025,PO for Gypsum Board & Supports,Gypsemna Co.LLC,45575.88,USD
262,RFPO-6705-V40139-1,02 Oct 2025,PO for MVL stickers & Magnet Signs,Sign King Inc,2100,USD
263,RFPO-6705-E6834-1,02 Oct 2025,PO for Batch Plant Temporary Generator-Electrical Items,TIC LIGHT ELECTRICAL CORP,14665.21,USD
264,RFPO-6705-V40138-1,01 Oct 2025,PO for Reinforcing Bar Supports,Dateline Exports Inc.,7977.1,USD
265,RFPO-5829-R1510-1,30 Sep 2025,PO for 70 ton - 70 ton - Rough Terrain Hydraulic Cranes 3 Months Rental - Ref No.: 2EQ2501416-R01,JOHNSON ARABIA LLC,160000,AED
266,RFPO-7208-V40018-1,30 Sep 2025,PO for Duct supports and Hangers,Isam Kabbani Trading LLC,70070.53,AED
267,RFPO-7208-A5302-1,30 Sep 2025,PO for Paints & Coatings,BM Middle East FZC,51177.28,USD
268,RFPO-6705-V40137-1,30 Sep 2025,PO for Detection Tracer Wire,American International Supply Inc.,770,USD
269,RFPO-6705-V40086-2,30 Sep 2025,PO for RSC Conduits and Fittings,Kelly & Hayes Electrical Industrial & Plumbing Supplies,18910.46,USD
270,RFPO-7139-V4354-1,29 Sep 2025,PO for Emergency Rescue Kit ,Rock-N-Rescue,2771.98,USD
271,RFPO-6746-V40027-1,29 Sep 2025,PO for Testing Support for Chlorinator System,WMS Aquatics,135,USD
272,RFPO-7039-V40025-1,29 Sep 2025,PO for Fabric innerducts ,"Guangzhou Pareto Technology Co.,LTD",66812.7,USD
273,RFPO-7039-V40024A-1,29 Sep 2025,PO for Splicing Iron and Marmac,"White Cap Supply Holdings, LLC",5005.7245,USD
274,RFPO-7139-V40042-1,26 Sep 2025,PO for Pre-Shipment Inspection - JFV981267- SYM5300THBFS 430C-10B Concrete Pump Truck-8,V-Trust Inspection Service Co. Ltd.,268,USD
275,RFPO-6705-V40136-1,25 Sep 2025,PO for 12000 BTU Mini Split AC Unit,LOWES,2315.92,USD
276,RFPO-7139-T1002-1,25 Sep 2025,PO for Spares for Data logger- Custom Tools,Global Sensors LLC,873.75,USD
277,RFPO-6718-V40029-2,25 Sep 2025,PO for GFME Items - Equipment,Jet Fuel Specialists LLC,71847,USD
278,RFPO-6718-V40030-2,25 Sep 2025,PO for GFME Items - Filter Materials,Jet Fuel Specialists LLC,14960.36,USD
279,RFPO-6718-V40019-2,25 Sep 2025,PO for Spare Parts for Pump Startup & Alignment,Jet Fuel Specialists LLC,5105.1,USD
280,RFPO-1569-O100-1,24 Sep 2025,PO for INTERNAL PO - Microsoft 365 G5 GCC – Annual Subscription Licenses (Pro-Rated) - Inv - 113948,Managed Solution LLC,583.78,USD
281,RFPO-6705-S9104-1,24 Sep 2025,PO for Calibration-Batching Plant and Few Lab Items,Cal-Cert Company,6361,USD
282,RFPO-5532-M4042-1,24 Sep 2025,PO forInner Tubes for Telehandler Tire - MR - Inner Tube for Telehandler - MW- Jess Co,Evangel International Machinery Ltd.,250,USD
283,RFPO-6705-V40126-1,23 Sep 2025,PO for C900 & Sch80 Pipes and Fittings ,American International Supply Inc.,18014.62,USD
284,RFPO-6718-V40033-2,22 Sep 2025,PO for Pump Control station,Jet Fuel Specialists LLC,38940.34,USD
285,RFPO-7139-M4014-1,22 Sep 2025,PO for 3RD BATCH - SANY STC500C5-8 50-ton truck crane WITH 2 YEAR SPARE PARTS,Evangel International Machinery Ltd.,124000,USD
286,RFPO-1569-O99-1,22 Sep 2025,PO for Freshservice Licenses & Implementation (- Freshservice + Freddy AI Quotation - S00091),RivYv Technologies,12848,USD
287,RFPO-6705-V40132-1,22 Sep 2025,"PO for Hinge, Lumber,Plywood",Tsang Brothers Corporation,19809,USD
288,RFPO-6705-V40133-1,22 Sep 2025,PO for Disinfection materials,Dateline Exports Inc.,198.51,USD
289,RFPO-7208-V40017-1,22 Sep 2025,PO for Misc.Metal Fabrication,Isam Kabbani Trading LLC,61560.2,AED
290,RFPO-6705-V40131-1,20 Sep 2025,PO for Pre-Shipment Inspection - JFV948479 - SAC200C8-8,V-Trust Inspection Service Co. Ltd.,268,USD
291,RFPO-5829-M4001-1,18 Sep 2025,PO for AIR FIELD PAVEMENT - ZPL-300Y Truss Screed (6.5m type)  AS PER APPROVED QUOTATION -   HK2025091603-UAE,"Tengzhou Hiking Machinery Technology Co., Ltd.",7800,USD
292,RFPO-1569-V4269-2,18 Sep 2025,PO for SUPPLY AND INSTALLATION 1806 LOUNGE AREA,BLUE CROWN FURNITURE (LLC),27258.52,AED
293,RFPO-1569-V4269-3,18 Sep 2025,PO for SUPPLY AND INSTALLATION 1806 LOUNGE AREA,BLUE CROWN FURNITURE (LLC),24739.96,AED
294,RFPO-5829-E6822-1,18 Sep 2025,PO for Type - Procurement Support - Supply of Dimmer Controller -  Ref.L_5717/25_DM_R3,GEMS SYSTEMS L.L.C.,193335.8,AED
295,RFPO-5503-A5206-1,18 Sep 2025,PO for Supervision Services – Mr. Andre Ebert (Primary) / Mr. Sehrt (Backup),SALZER GmbH,19850,EURO
296,RFPO-6705-V40130-1,18 Sep 2025,PO for Gypsum Drywall and Supports for Building 729,BMET Building Materials Trading LLC,12800.48,AED
297,RFPO-5532-V40083-1,18 Sep 2025,PO for JFV957761 - Pre-Shipment Inspection Supplier: Evangel International Machinery Ltd.PO# RFPO-5532-M4038-1 - Item# CPCD50,V-Trust Inspection Service Co. Ltd.,268,USD
298,RFPO-5532-V40084-1,18 Sep 2025,PO for Aggregates - Additional Qty,Leeds Services Co. Pte Ltd.,266620,USD
299,RFPO-7139-M4012-1,17 Sep 2025,PO for ATCT - 9m3 Dust Suppression Truck - Ref - AM25E09170056602,"AIMIX GROUP CO., LTD",24600,USD
300,RFPO-1569-14069-3,17 Sep 2025,PO for 3rd Amendment - FITOUT -  MVL OFFICE 1806 and 1807,Keen Eye Technical Services LLC,107715,AED
301,RFPO-5683-A5205-1,17 Sep 2025,PO for Fusible links,TECHTRADE SAL(OFFSHORE),241.64,USD
302,RFPO-7139-M4013-1,17 Sep 2025,PO for 3rd  Bartch - DONGFENG 375HP 6x4 tractor truck and 3 axles 40Ton 40ft container flatbed semi-trailer with 2 years Spare Parts,Evangel International Machinery Ltd.,66300,USD
303,RFPO-7039-V40024-1,16 Sep 2025,PO for Splicing iron and butyl sealant,"White Cap Supply Holdings, LLC",6448.615,USD
304,RFPO-7139-M4010-1,16 Sep 2025,PO for 3RD BATCH OF HEAVY EQUIPMENTS FOR KWAJALEIN,Evangel International Machinery Ltd.,92200,USD
305,RFPO-6705-V40128-1,16 Sep 2025,PO for Lighting Fixtures and Toggle Switch,Kelly & Hayes Electrical Industrial & Plumbing Supplies,294.6,USD
306,RFPO-6852-V40034-1,12 Sep 2025,PO for Film for Liner,Arabian Environmental Construction Company (AEC),6156,USD
307,RFPO-6705-E6833-1,12 Sep 2025,"PO for Heat Shrink Termination with Terminal Lugs , Nuts, Bolts, Washer",TIC LIGHT ELECTRICAL CORP,1613.42,USD
308,RFPO-6705-V40127-1,12 Sep 2025,PO for Mandrel & Plugs,Kelly & Hayes Electrical Industrial & Plumbing Supplies,2548.76,USD
309,RFPO-7139-M4011-1,11 Sep 2025,"PO for 9M3 Concrete Mixer Truck - 6x4 HOWO chassis (371HP), 9M3 drum, revolution counter, 1 spare tyre, optional parts - as per approved Quotation M25E09110056601","AIMIX GROUP CO., LTD",101736,USD
310,RFPO-5532-M4041-1,11 Sep 2025,PO for 9M3 Concrete Mixer Truck - as per approved Quotation AM25E09100056602,"AIMIX GROUP CO., LTD",101736,USD
311,RFPO-7864-V40001-1,11 Sep 2025,PO for Wall Base & Adhesive,"MANNINGTON MILLS, INC.",820,USD
312,RFPO-6705-E6832-1,10 Sep 2025,PO for Batch Plant -Electrical Items,TIC LIGHT ELECTRICAL CORP,117777.85,USD
313,RFPO-6705-V40125-1,10 Sep 2025,PO for Frame & cover for Cleanout (Storm & Sewer),EJ USA Inc.,4393,USD
314,RFPO-6705-M4105-1,10 Sep 2025,PO for 315 KVA Genset - JP300 Silent Type,Jubaili Bros,190000.83,AED
315,RFPO-7139-E6819-1,09 Sep 2025,PO for ATCT-Electrical Items for Site Temporary Power,TIC LIGHT ELECTRICAL CORP,20605.02,USD
316,RFPO-7139-V40010A-2,09 Sep 2025,PO for TRIPOD AND ACCESSORIES,MONJE,11065.37,USD
317,RFPO-7027-M4102A-1,09 Sep 2025,PO for Spares for PACU Testing,S.K.M. Air Conditioning L.L.C.,1250,AED
318,RFPO-6852-V40033-1,08 Sep 2025,"PO for Bolts, Nuts and Washers",Fastener Point LLC,9688,AED
319,RFPO-7039-V40023-1,08 Sep 2025,PO for Sika Waterbar,Petrocoat Construction Chemicals Trading LLC,65513,AED
320,RFPO-6542-V40043-1,08 Sep 2025,PO for Breakers,Kelly & Hayes Electrical Industrial & Plumbing Supplies,58.08,USD
321,RFPO-5829-V40034-1,04 Sep 2025,PO for Procurement Support Al Fikree - Penstocks for Triton Operational Facility,DUTCO TENNANT LLC,87744,AED
322,RFPO-7073-V40011-1,04 Sep 2025,PO for Vibration Hose,Puget Sound Pipe & Supply,59120.34,USD
323,RFPO-6705-S9103-1,04 Sep 2025,PO for Proficiency Sample Program (PSP) for Kwaj-lab,AASHTO re:source,665,USD
324,RFPO-7139-M4008-1,04 Sep 2025,PO forModel: F-150 Crew Cab Pickup – Short Bed Year: 2020 - Condition: Used VIN - 1FTEW1EB7LKE67798,Guam Autospot,34995,USD
325,RFPO-5532-V40081-1,04 Sep 2025,PO for Vinyl Tiles,ODORES METAL LLC,1504.7,USD
326,RFPO-5829-A5303-1,04 Sep 2025,PO for URGENT REQUEST FOR INTERNAL PAINT B M ULTRA SPEC 500 LATEX PRIMER GL,SAS express BUILDING MATERIALS TRADING LLC,2000,AED
327,RFPO-6746-V40026-1,04 Sep 2025,PO for Paints and coatings,The Sherwin-Williams Company,7273.8,USD
328,RFPO-6705-V40124-1,04 Sep 2025,PO for Metal studs and plastic items for the temporary protection,Tsang Brothers Corporation,764,USD
329,RFPO-5695-V40020-1,04 Sep 2025,PO for Threaded Rod for Pull Test,Fastener Point LLC,14150,AED
330,RFPO-5683-A5204-1,04 Sep 2025,PO for Door Glazing,QMI Building Metal Products Manufacturing LLC,2120,AED
331,RFPO-7139-V40040-1,03 Sep 2025,PO for Tarps &  Nylon rope,LOWES,4655.1,USD
332,RFPO-6705-V40123-1,03 Sep 2025,PO for OCAL PVC Coated Metal Conduits and Fittings ,Kelly & Hayes Electrical Industrial & Plumbing Supplies,27207.16,USD
333,RFPO-6705-V40122-1,03 Sep 2025,PO for Bitumastic Paint & SIKADUR 32,Dateline Exports Inc.,654.5,USD
334,RFPO-5829-V40035-1,03 Sep 2025,PO for Air Field Pavement - RMB Concrete Mix - as per approved  Provided Flexural Strength  - 4.5MPa@90D (OPC)-0.33W/Cto 0.37W/C,RMB Global Ready Mix Concrete Industries L.L.C S.P.C,1208480,AED
335,RFPO-7073-V40012-1,02 Sep 2025,PO for DI Pipes & fittings,Unitech Di Pipes & Fittings Mfg. LLC,7050.57,USD
336,RFPO-6705-M4101-4,02 Sep 2025,PO for Unit Substation - 186inch  W X 92inch H X60inch D,TURTLE,296301,USD
337,RFPO-6705-E6831-1,02 Sep 2025,PO for Outlet Boxes and Cover ,GRAYBAR ELECTRIC COMPANY INC,113.8258,USD
338,RFPO-7208-V40015-2,02 Sep 2025,PO for Emergency Eyewash & Shower,Dateline Exports Inc.,33839.75,USD
339,RFPO-7139-S9127-2,01 Sep 2025,PO for FORMWORK AND SCAFFOLDING SYSTEMS,Ozler Formwork and Scaffolding Systems (OZLER KALIP VE ISKELE SISTEMLERI A.S),202856.77,USD
340,RFPO-7139-S9131-2,01 Sep 2025,PO for FORMWORK AND SCAFFOLDING SYSTEMS,Ozler Formwork and Scaffolding Systems (OZLER KALIP VE ISKELE SISTEMLERI A.S),120213.98,USD
341,RFPO-7208-V40016-1,29 Aug 2025,PO for Metal Wall Louvers,INTEGRATED CONTRACTING SUPPLIERS,74306.29,USD
342,RFPO-6705-E6830-1,28 Aug 2025,PO for Cable Lugs,TIC LIGHT ELECTRICAL CORP,2797.24,USD
343,RFPO-6705-M4025-1,27 Aug 2025,PO for SANY 43m Concrete Pump Truck - Model: SYM5300THBFS 430C-10B,Evangel International Machinery Ltd.,160300,USD
344,RFPO-6705-E6829-1,27 Aug 2025,PO for Batch Plant Temporary Generator-Electrical Items,TIC LIGHT ELECTRICAL CORP,16014.17,USD
345,RFPO-6705-V40121-1,27 Aug 2025,PO for Medical Laboratory-Additional items,Humboldt Mfg Co,7239.25,USD
346,RFPO-7139-S9131-1,26 Aug 2025,PO for FORMWORK AND SCAFFOLDING SYSTEMS,Ozler Formwork and Scaffolding Systems (OZLER KALIP VE ISKELE SISTEMLERI A.S),105413.98,USD
347,RFPO-7139-E6818-1,25 Aug 2025,"PO for Main Distribution Board ,Panel Boards-ATCT Electrical for Temporary Power",AL GHANDI SWITCHGEARS INDUSTRY,16596.39,AED
348,RFPO-6542-V40042-1,25 Aug 2025,PO for Kitchen Sink and Fitting.,INTEGRATED CONTRACTING SUPPLIERS,1132,USD
349,RFPO-6705-E6828-1,25 Aug 2025,PO for MV and LC Terminal Lugs ,TIC LIGHT ELECTRICAL CORP,2192.91,USD
350,RFPO-1569-V4426-1,21 Aug 2025,PO for Plan Swift 11 Measurements & QTY Takeoff Software -  Perpetual License - Raunaque Afroz,Green Figure Technique,8200,AED
351,RFPO-6852-V40030-2,21 Aug 2025,"PO for Fuel Transfer Pump, Valves and Tank level & Pump Controls (with no deviations from original offer)",Jet Fuel Specialists LLC,226085.75,USD
352,RFPO-6852-V40031-2,21 Aug 2025,"PO for Fuel Transfer Pump, Valves and Controls (with deviations from original offer)",Jet Fuel Specialists LLC,85248.41,USD
353,RFPO-7139-M4102-1,21 Aug 2025,PO for Load Break Switch for 750KVA XFMR,"Jiangsu Ryan Electric Co.,Ltd",14000,USD
354,RFPO-7120-V40004-1,21 Aug 2025,PO for Disconnect Switches,Kelly & Hayes Electrical Industrial & Plumbing Supplies,6195.19,USD
355,RFPO-7039-V40021-1,20 Aug 2025,PO for Pulling Iron for Telecom Handhole,Crossweld Metal Trading Co.LLC,8184,USD
356,RFPO-7864-V40000-1,20 Aug 2025,PO for Rubber Base,Adelta Corporation,2737.99,USD
357,RFPO-6705-V40120-1,20 Aug 2025,PO for 1' Rigid Metal Conduits and Fittings  ,Kelly & Hayes Electrical Industrial & Plumbing Supplies,208.29,USD
358,RFPO-7139-S9130-1,19 Aug 2025,PO for Canopy Storage Shelter,BIG TOP SHELTERS,101700,USD
359,RFPO-1569-14592-1,19 Aug 2025,"PO for Supply & Installation - Fire Protection System for Unit 1807, One Lake Plaza, JLT,",EUROFIRE FIRE & SAFETY L.L.C,44000,AED
360,RFPO-6705-S9102-1,19 Aug 2025,PO for Services rendered by ACI Certified Lab Tech for MTC Lab Accreditation,Rodelio Morales,8000,USD
361,RFPO-5532-E6805-1,19 Aug 2025,PO for Additional Electrical Materials - Batchplant,Benfield Electric International Ltd.,9754.1,USD
362,RFPO-6718-E6807-1,19 Aug 2025,PO for Glands,WESCO Distribution Inc,7704,USD
